osm_id,name,highway,waterway,aerialway,barrier,man_made,other_tags,20mph,Order,Area,Year,LENGTH_GEO,START_X,START_Y,MID_X,MID_Y,END_X,END_Y,CENTROID_X,CENTROID_Y,INSIDE_X,INSIDE_Y,PART_COUNT,PNT_COUNT,BEARING,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y
8752502,Craigiehall Place,residential,,,,,,YES,S1,Festival Park,2011,198.86748728100,256799.29368700000,664790.19186699996,256897.93988900000,664777.95562899997,256929.01746100001,664714.30234699999,256887.73383600000,664770.29976900003,256871.07360000000,664780.72209900001,1.00000000000,6.00000000000,120.32800021300,256799.29368700000,664714.30234699999,256936.98888900000,664790.19186699996
8752503,Craigiehall Place,residential,,,,,,YES,S1,Festival Park,2011,88.70707026380,256843.11138500000,664784.81170700002,256850.62507099999,664752.13447399996,256879.92053300000,664734.35688300000,256855.80683600000,664755.75060100004,256857.55257100001,664750.67756300000,1.00000000000,5.00000000000,143.88750491100,256837.00773400001,664734.35688300000,256881.84372800001,664784.81170700002
8752504,Craigiehall Street,residential,,,,,,YES,S1,Festival Park,2011,39.11486044420,256784.37868800000,664730.92201700003,256803.80895899999,664728.72086500004,256823.21101100001,664726.31910399999,256803.80760299999,664728.71122499998,256803.80624700000,664728.72117300006,1.00000000000,3.00000000000,96.75990113570,256784.37868800000,664726.31910399999,256823.21101100001,664730.92201700003
8752507,Craigiehall Street,residential,,,,,,YES,S1,Festival Park,2011,70.77756643190,256909.28632499999,664715.88976000005,256944.56111600000,664713.11854199995,256978.49808100000,664704.90528299997,256944.39520900001,664712.44456500001,256944.10209800000,664713.15350100002,1.00000000000,4.00000000000,99.01809883490,256909.28632499999,664704.90528299997,256978.49808100000,664715.88976000005
9048029,MacLean Square,residential,,,,,,YES,S1,Festival Park,2011,107.89720535900,256940.36070700001,664915.25731899997,256924.69957200001,664864.62759399996,256959.08500799999,664839.78474300005,256932.92487900000,664868.87475600000,256924.99166000000,664877.88886099996,1.00000000000,7.00000000000,166.06657869100,256924.29850899999,664839.78474300005,256959.08500799999,664915.25731899997
9048030,MacLean Square,residential,,,,,,YES,S1,Festival Park,2011,134.89444078500,256925.06245999999,664881.10331599996,256859.97085400001,664893.46698599996,256864.07193000001,664859.85285400006,256871.32274599999,664882.79797299998,256885.12396900001,664892.15068299999,1.00000000000,8.00000000000,250.79052344300,256843.53942200000,664859.85285400006,256925.06245999999,664894.13941299997
9048033,Eaglesham Place,residential,,,,,,YES,S1,Festival Park,2011,115.62843786400,256900.15231800001,664601.74423900002,256956.77839299999,664606.04362600006,256965.56626699999,664560.88115699997,256947.77174500001,664595.17938099999,256930.07007900000,664599.93282999995,1.00000000000,5.00000000000,121.99238378600,256900.15231800001,664560.88115699997,256970.24111300000,664606.52604400006
9048034,Eaglesham Place,residential,,,,,,YES,S1,Festival Park,2011,30.28156154010,256928.85381000000,664599.54862400005,256928.38215200001,664584.41742700001,256927.91049300000,664569.28623099998,256928.38215200001,664584.41742700001,256928.38215200001,664584.41742700001,1.00000000000,2.00000000000,181.78540299800,256927.91049300000,664569.28623099998,256928.85381000000,664599.54862400005
9048035,Eaglesham Court,residential,,,,,,YES,S1,Festival Park,2011,43.28832371180,256970.81934799999,664670.62200300000,256968.87339200001,664649.06870599999,256966.92743499999,664627.51540999999,256968.87339200001,664649.06870599999,256968.87339200001,664649.06870599999,1.00000000000,2.00000000000,185.15900665900,256966.92743499999,664627.51540999999,256970.81934799999,664670.62200300000
9053223,Rutland Court,residential,,,,,,YES,S1,Festival Park,2011,122.01117082100,257277.82427200000,664680.51874700002,257234.47276999999,664666.95446100004,257253.44802099999,664634.31159599999,257246.51458500000,664655.87806999998,257259.41472999999,664664.61072000000,1.00000000000,10.00000000000,207.81356618700,257228.62215099999,664629.72765699995,257277.82427200000,664680.51874700002
9053225,Rutland Crescent,residential,,,,,,YES,S1,Festival Park,2011,105.86266675400,257230.02613700001,664717.97857499996,257205.64399200000,664671.41633200005,257201.93074600000,664619.40418800001,257209.11251899999,664670.37544300000,257205.53667700000,664670.98989299999,1.00000000000,4.00000000000,195.90846077700,257199.31443299999,664619.40418800001,257230.02613700001,664717.97857499996
9053227,Rutland Place,residential,,,,,,YES,S1,Festival Park,2011,63.10102631120,257208.21776699999,664681.64375799999,257181.34083100001,664697.66660800006,257180.90716400000,664720.11043799995,257184.94273800001,664698.58013999998,257184.64087599999,664695.08255499997,1.00000000000,5.00000000000,324.62598025500,257170.13865400001,664681.64375799999,257208.21776699999,664720.11043799995
9053228,Plantation Square,residential,,,,,,YES,S1,Festival Park,2011,111.39695862400,257092.35565300001,664822.94446000003,257080.90144099999,664770.54994699999,257100.61948200001,664735.45542200003,257083.73602600000,664772.34398600005,257081.30231699999,664779.58550499997,1.00000000000,7.00000000000,174.60410189500,257079.36824000001,664735.45542200003,257100.61948200001,664822.94446000003
